term,per_million
able,310.000000
about,400.000000
accept,228.000000
account,249.000000
achieve,218.000000
act,319.000000
action,344.000000
activity,305.000000
add,300.000000
afraid,25.000000
again,357.000000
age,288.000000
ago,184.000000
agree,241.000000
agreement,211.000000
air,177.000000
all,150.000000
allow,401.000000
almost,295.000000
already,345.000000
also,1581.000000
always,386.000000
american,197.000000
amount,208.000000
analysis,195.000000
answer,73.000000
anyway,37.000000
appear,356.000000
application,209.000000
apply,248.000000
approach,225.000000
april,195.000000
area,719.000000
argue,185.000000
arm,125.000000
around,192.000000
arrive,133.000000
art,264.000000
as,537.000000
ask,399.000000
authority,400.000000
available,358.000000
award,235.000000
away,221.000000
back,606.000000
bad,213.000000
bank,282.000000
base,256.000000
basis,188.000000
be,40274.000000
become,807.000000
bed,95.000000
before,91.000000
begin,417.000000
believe,332.000000
benefit,191.000000
better,109.000000
big,277.000000
bit,76.000000
black,199.000000
blue,62.000000
board,188.000000
body,322.000000
book,409.000000
both,466.000000
boy,148.000000
break,177.000000
breath,18.000000
bring,416.000000
britain,334.000000
british,461.000000
brother,99.000000
build,270.000000
building,264.000000
business,450.000000
buy,235.000000
call,484.000000
car,299.000000
care,242.000000
carry,334.000000
case,752.000000
catch,100.000000
cause,250.000000
central,251.000000
centre,348.000000
century,307.000000
certain,245.000000
certainly,169.000000
chair,51.000000
chance,158.000000
change,754.000000
chapter,212.000000
child,774.000000
choose,190.000000
church,276.000000
city,317.000000
claim,244.000000
class,301.000000
clear,269.000000
close,260.000000
club,243.000000
coffee,33.000000
cold,68.000000
come,994.000000
committee,268.000000
common,232.000000
community,356.000000
company,739.000000
computer,219.000000
condition,307.000000
consider,355.000000
contain,232.000000
continue,327.000000
contract,204.000000
control,343.000000
corner,63.000000
cost,345.000000
council,410.000000
country,601.000000
couple,109.000000
course,328.000000
court,447.000000
cover,208.000000
create,281.000000
cry,24.000000
cut,180.000000
dark,51.000000
date,223.000000
day,859.000000
dead,80.000000
deal,191.000000
death,246.000000
decide,246.000000
decision,305.000000
deep,81.000000
department,282.000000
describe,307.000000
design,193.000000
detail,217.000000
develop,313.000000
development,500.000000
die,207.000000
difference,229.000000
different,544.000000
difficult,245.000000
director,215.000000
do,3172.000000
doctor,119.000000
door,120.000000
down,535.000000
draw,219.000000
drive,125.000000
drop,82.000000
early,438.000000
easy,200.000000
eat,97.000000
economic,321.000000
education,342.000000
effect,431.000000
either,237.000000
election,208.000000
else,121.000000
end,468.000000
england,290.000000
enough,191.000000
ensure,186.000000
environment,190.000000
especially,212.000000
establish,235.000000
europe,237.000000
european,260.000000
even,688.000000
evening,115.000000
event,267.000000
ever,197.000000
evidence,273.000000
example,255.000000
expect,293.000000
experience,275.000000
explain,197.000000
eye,165.000000
face,142.000000
fact,442.000000
factor,199.000000
fail,196.000000
fall,252.000000
family,488.000000
far,645.000000
father,169.000000
feel,412.000000
feeling,111.000000
field,235.000000
figure,325.000000
financial,215.000000
find,946.000000
finger,36.000000
finish,81.000000
fire,120.000000
firm,211.000000
floor,86.000000
follow,534.000000
food,237.000000
foot,151.000000
force,316.000000
foreign,212.000000
forget,70.000000
form,703.000000
forward,110.000000
free,224.000000
friend,290.000000
full,301.000000
game,242.000000
garden,136.000000
